Date,CHAR,  Ontario,    Ottawa-Gatineau,"      Ottawa-Gatineau, Quebec part","      Ottawa-Gatineau, Ontario part",    Kingston,    Belleville,    Peterborough,    Oshawa,    Toronto,    Hamilton,    St. Catharines - Niagara,    Kitchener - Cambridge - Waterloo,    Brantford,    Guelph,    London,    Windsor,    Barrie,    Greater Sudbury,    Thunder Bay
02/01/2020,Participation rate,65.3,68.4,66.7,69,61.8,51.6,56.1,67.1,67.2,65.8,59.7,72,66.6,66.2,61.8,61,76.4,64.2,63.2
02/01/2020,Employment rate,61.8,65.5,63.6,66.1,58.2,46.5,52.1,62,63.5,62.6,56.3,68.1,62.9,62.8,58.8,56,72.9,60.8,60.1
03/01/2020,Population,12171,1187.8,283.3,904.6,141.4,117.8,111.3,340.4,5472.6,663.5,370.4,489.2,118.3,138.6,459.1,300.4,178.8,145.2,106.9
03/01/2020,   Labour force,7854.9,798.4,188.7,609.7,86.6,60.2,61.3,229.1,3626.7,435,215.7,351.8,77.1,92.6,283.4,182,135.4,90.9,66.7
03/01/2020,      Employment,7358,758.4,177.7,580.7,80.7,52.8,56.4,208.3,3393.3,409.1,198.4,329.2,72.6,87.1,266.8,162,127.2,85.5,62.4
03/01/2020,      Unemployment,496.9,40,11,29,5.9,7.4,5,20.9,233.3,25.9,17.3,22.6,4.5,5.5,16.6,19.9,8.2,5.4,4.3
03/01/2020,Unemployment rate,6.3,5,5.8,4.8,6.8,12.3,8.2,9.1,6.4,6,8,6.4,5.8,5.9,5.9,10.9,6.1,5.9,6.4
03/01/2020,Participation rate,64.5,67.2,66.6,67.4,61.2,51.1,55.1,67.3,66.3,65.6,58.2,71.9,65.2,66.8,61.7,60.6,75.7,62.6,62.4
03/01/2020,Employment rate,60.5,63.8,62.7,64.2,57.1,44.8,50.7,61.2,62,61.7,53.6,67.3,61.4,62.8,58.1,53.9,71.1,58.9,58.4
04/01/2020,Population,12181.9,1189.1,283.4,905.7,141.7,109.1,111.5,340.6,5479.4,663.6,370.6,490,118.3,138.7,459.8,300.9,179,145.3,106.9
04/01/2020,   Labour force,7612.3,777.2,185.2,592,84.5,56.5,58.5,224.5,3500.3,421.7,208,340.2,76.8,92.3,274.6,172.2,131.3,87.1,64
04/01/2020,      Employment,6963.7,722.9,168,554.9,77,46.9,53.2,201.9,3196.7,388.4,185.6,310.5,69.8,83.6,250.7,149.1,119,80.9,58.4
04/01/2020,      Unemployment,648.6,54.3,17.3,37.1,7.5,9.6,5.3,22.6,303.6,33.4,22.4,29.8,7,8.7,23.9,23,12.3,6.3,5.6
04/01/2020,Unemployment rate,8.5,7,9.3,6.3,8.9,17,9.1,10.1,8.7,7.9,10.8,8.8,9.1,9.4,8.7,13.4,9.4,7.2,8.8
04/01/2020,Participation rate,62.5,65.4,65.3,65.4,59.6,51.8,52.5,65.9,63.9,63.5,56.1,69.4,64.9,66.5,59.7,57.2,73.4,59.9,59.9
04/01/2020,Employment rate,57.2,60.8,59.3,61.3,54.3,43,47.7,59.3,58.3,58.5,50.1,63.4,59,60.3,54.5,49.6,66.5,55.7,54.6
05/01/2020,Population,12191.4,1190.3,283.5,906.8,141.8,99.9,111.7,340.8,5485.5,663.7,370.8,490.8,118.3,138.8,460.4,301.4,179.2,145.3,106.9
05/01/2020,   Labour force,7413.4,763.4,180.2,583.1,83.7,53.1,56.4,218.8,3403.4,407.7,201.5,329.2,76.7,93.1,269.7,166.9,127.3,84.6,61.8
05/01/2020,      Employment,6568.2,694.9,159.2,535.6,73.7,43.2,50.3,193.3,2985.2,363,173,290.8,68.2,80.5,239.5,137.7,112.3,76.7,54.8
05/01/2020,      Unemployment,845.2,68.5,21,47.5,9.9,9.9,6.1,25.5,418.2,44.7,28.4,38.4,8.6,12.5,30.2,29.2,15,7.9,6.9
05/01/2020,Unemployment rate,11.4,9,11.7,8.1,11.8,18.6,10.8,11.7,12.3,11,14.1,11.7,11.2,13.4,11.2,17.5,11.8,9.3,11.2
05/01/2020,Participation rate,60.8,64.1,63.6,64.3,59,53.2,50.5,64.2,62,61.4,54.3,67.1,64.8,67.1,58.6,55.4,71,58.2,57.8
05/01/2020,Employment rate,53.9,58.4,56.2,59.1,52,43.2,45,56.7,54.4,54.7,46.7,59.3,57.7,58,52,45.7,62.7,52.8,51.3
06/01/2020,Population,12200.3,1191.4,283.6,907.8,142,96.4,111.8,341,5491.3,663.7,371,491.6,118.3,138.8,461,301.8,179.3,145.3,106.9
06/01/2020,   Labour force,7410.9,761.8,178.3,583.6,85.2,51.1,56.6,218.6,3404.8,407.8,203,324.3,79.2,94.5,269.1,166.9,126.8,84.1,60.9
06/01/2020,      Employment,6459.7,684.1,156.9,527.1,74.6,43.2,51,190.3,2919,354.1,172,281.9,68.4,80.4,237.9,140,113.3,75.7,53.9
06/01/2020,      Unemployment,951.2,77.8,21.3,56.5,10.6,7.9,5.5,28.3,485.7,53.7,31,42.3,10.8,14.2,31.2,26.8,13.5,8.4,7.1
06/01/2020,Unemployment rate,12.8,10.2,11.9,9.7,12.4,15.5,9.7,12.9,14.3,13.2,15.3,13,13.6,15,11.6,16.1,10.6,10,11.7
06/01/2020,Participation rate,60.7,63.9,62.9,64.3,60,53,50.6,64.1,62,61.4,54.7,66,66.9,68.1,58.4,55.3,70.7,57.9,57
06/01/2020,Employment rate,52.9,57.4,55.3,58.1,52.5,44.8,45.6,55.8,53.2,53.4,46.4,57.3,57.8,57.9,51.6,46.4,63.2,52.1,50.4
07/01/2020,Population,12210.7,1192.7,283.7,909,142.2,96.5,112,341.3,5497.9,663.8,371.2,492.5,118.4,138.9,461.6,302.3,179.5,145.4,106.8
07/01/2020,   Labour force,7605.6,778,180,598,87.6,49.3,58,224.6,3512.3,417.8,207.7,329.9,80.1,96.2,277.7,174.1,131.9,86.3,62
07/01/2020,      Employment,6643.5,700.5,162.2,538.4,77.7,43.5,51.9,195.6,2981.2,364.7,177.7,286.7,70.8,83,248.9,150.6,120.2,77.8,55.5
07/01/2020,      Unemployment,962.1,77.4,17.8,59.6,10,5.8,6.1,29.1,531.1,53.1,30,43.3,9.3,13.3,28.8,23.6,11.7,8.4,6.5
07/01/2020,Unemployment rate,12.6,9.9,9.9,10,11.4,11.8,10.5,13,15.1,12.7,14.4,13.1,11.6,13.8,10.4,13.6,8.9,9.7,10.5
07/01/2020,Participation rate,62.3,65.2,63.4,65.8,61.6,51.1,51.8,65.8,63.9,62.9,56,67,67.7,69.3,60.2,57.6,73.5,59.4,58.1
07/01/2020,Employment rate,54.4,58.7,57.2,59.2,54.6,45.1,46.3,57.3,54.2,54.9,47.9,58.2,59.8,59.8,53.9,49.8,67,53.5,52
08/01/2020,Population,12221.8,1193.9,283.8,910.1,142.3,100.5,112.2,341.5,5505,663.9,371.5,493.3,118.4,139,462.3,302.8,179.7,145.5,106.8
08/01/2020,   Labour force,7771.3,788.9,181.8,607.1,89.4,51.7,57.5,229.2,3616.1,423,214.5,336.1,80.7,97,283.9,176.9,132.5,86.8,63.2
08/01/2020,      Employment,6879.1,714.6,165.9,548.7,80.3,45,51.6,202.7,3114.6,375,185.8,293.2,72,85.7,256.5,156.8,121.8,79.5,57.5
08/01/2020,      Unemployment,892.2,74.3,15.9,58.4,9.1,6.8,5.9,26.5,501.6,48,28.7,42.8,8.7,11.3,27.4,20.1,10.6,7.3,5.7
08/01/2020,Unemployment rate,11.5,9.4,8.7,9.6,10.2,13.2,10.3,11.6,13.9,11.3,13.4,12.7,10.8,11.6,9.7,11.4,8,8.4,9
08/01/2020,Participation rate,63.6,66.1,64.1,66.7,62.8,51.4,51.2,67.1,65.7,63.7,57.7,68.1,68.2,69.8,61.4,58.4,73.7,59.7,59.2
08/01/2020,Employment rate,56.3,59.9,58.5,60.3,56.4,44.8,46,59.4,56.6,56.5,50,59.4,60.8,61.7,55.5,51.8,67.8,54.6,53.8
09/01/2020,Population,12233.4,1195.2,284,911.2,142.4,107.7,112.4,341.8,5512.3,664.1,371.8,494.2,118.4,139.1,462.9,303.3,179.9,145.5,106.8
09/01/2020,   Labour force,7870.2,791.6,181.3,610.3,89.3,54.6,58.1,231.1,3693.8,416.6,213.7,338,80.3,96.3,287.8,175.8,131.2,88.1,64.2
09/01/2020,      Employment,7040.8,724.7,166.5,558.1,81,48.5,51.5,208.8,3220.1,375.7,192.8,298,73.4,86.4,260.8,157.4,120.2,80.9,59.1
09/01/2020,      Unemployment,829.4,66.9,14.8,52.2,8.2,6.1,6.6,22.3,473.7,40.8,21,40,6.9,9.9,27,18.4,11,7.2,5
09/01/2020,Unemployment rate,10.5,8.5,8.2,8.6,9.2,11.2,11.4,9.6,12.8,9.8,9.8,11.8,8.6,10.3,9.4,10.5,8.4,8.2,7.8
09/01/2020,Participation rate,64.3,66.2,63.8,67,62.7,50.7,51.7,67.6,67,62.7,57.5,68.4,67.8,69.2,62.2,58,72.9,60.5,60.1
09/01/2020,Employment rate,57.6,60.6,58.6,61.2,56.9,45,45.8,61.1,58.4,56.6,51.9,60.3,62,62.1,56.3,51.9,66.8,55.6,55.3
10/01/2020,Population,12244.8,1196.7,284.2,912.4,142.5,110.4,112.6,342.1,5519.3,664.3,372,495.1,118.5,139.2,463.6,303.7,180.1,145.6,106.8
10/01/2020,   Labour force,7942.6,789.4,182.7,606.8,89.6,56.5,59.3,233.1,3746.8,413.1,216.6,340,80.2,96,288.5,175.4,128.8,88.3,65.1
10/01/2020,      Employment,7159.1,727.4,168.6,558.9,82,51.7,51.9,213.3,3323,375.2,198.6,304.4,73.9,87.6,262.9,154.7,117.1,81.5,60.3
10/01/2020,      Unemployment,783.5,62,14.1,47.9,7.6,4.8,7.4,19.8,423.9,37.9,18,35.6,6.4,8.4,25.6,20.6,11.7,6.8,4.8
10/01/2020,Unemployment rate,9.9,7.9,7.7,7.9,8.5,8.5,12.5,8.5,11.3,9.2,8.3,10.5,8,8.8,8.9,11.7,9.1,7.7,7.4
10/01/2020,Participation rate,64.9,66,64.3,66.5,62.9,51.2,52.7,68.1,67.9,62.2,58.2,68.7,67.7,69,62.2,57.8,71.5,60.6,61
10/01/2020,Employment rate,58.5,60.8,59.3,61.3,57.5,46.8,46.1,62.4,60.2,56.5,53.4,61.5,62.4,62.9,56.7,50.9,65,56,56.5
11/01/2020,Population,12256.5,1198.2,284.5,913.7,142.7,107.3,112.7,342.4,5526.1,664.5,372.2,495.8,118.5,139.4,464.2,304,180.3,145.6,106.8
11/01/2020,   Labour force,7995.7,787.2,183.6,603.6,89.2,54,60.1,233.5,3772.7,419.3,215.2,339.3,80.2,94.4,287.5,172.9,129.3,88.7,65.6
11/01/2020,      Employment,7242.5,731.8,170.5,561.3,83,52.2,53.6,214.2,3377.5,387.3,198.8,308.9,74.4,87.4,263.3,154.2,115.7,81.8,60.7
11/01/2020,      Unemployment,753.1,55.4,13.1,42.3,6.2,1.8,6.5,19.2,395.2,32,16.5,30.5,5.7,7,24.3,18.7,13.6,6.9,4.8
11/01/2020,Unemployment rate,9.4,7,7.1,7,7,3.3,10.8,8.2,10.5,7.6,7.7,9,7.1,7.4,8.5,10.8,10.5,7.8,7.3
11/01/2020,Participation rate,65.2,65.7,64.5,66.1,62.5,50.3,53.3,68.2,68.3,63.1,57.8,68.4,67.7,67.7,61.9,56.9,71.7,60.9,61.4
11/01/2020,Employment rate,59.1,61.1,59.9,61.4,58.2,48.6,47.6,62.6,61.1,58.3,53.4,62.3,62.8,62.7,56.7,50.7,64.2,56.2,56.8
12/01/2020,Population,12266.1,1199.6,284.7,914.9,142.9,102.9,112.8,342.7,5531.5,664.8,372.4,496.4,118.6,139.5,464.7,304.2,180.4,145.6,106.7
12/01/2020,   Labour force,8023.4,791.7,184.2,607.5,89.3,55.3,62.4,232.4,3770.1,428.3,216.4,342.5,79.4,92.7,290.7,169.1,128.5,88.5,65.7
12/01/2020,      Employment,7258.1,737.6,171.8,565.9,84,54,55.3,213.6,3370,396.2,195,312.5,74,86.5,266,149.7,113.6,81.4,60.7
12/01/2020,      Unemployment,765.4,54.1,12.4,41.6,5.3,1.3,7.1,18.8,400.1,32.2,21.4,30,5.4,6.3,24.7,19.4,14.9,7,5
12/01/2020,Unemployment rate,9.5,6.8,6.7,6.8,5.9,2.4,11.4,8.1,10.6,7.5,9.9,8.8,6.8,6.8,8.5,11.5,11.6,7.9,7.6
12/01/2020,Participation rate,65.4,66,64.7,66.4,62.5,53.7,55.3,67.8,68.2,64.4,58.1,69,66.9,66.5,62.6,55.6,71.2,60.8,61.6
12/01/2020,Employment rate,59.2,61.5,60.3,61.9,58.8,52.5,49,62.3,60.9,59.6,52.4,63,62.4,62,57.2,49.2,63,55.9,56.9
01/01/2021,Population,12274,1201,285,916.1,143,98.5,112.8,343,5536.1,665,372.4,496.9,118.6,139.6,465.1,304.4,180.5,145.6,106.7
01/01/2021,   Labour force,7988.1,798.2,184.2,614,89.6,56.6,63.5,228.3,3741.7,430.2,210.5,343.3,78.7,92.1,293.2,168.2,127.3,87.5,65.5
01/01/2021,      Employment,7204.7,744.5,171,573.5,83.7,54.4,56.6,207.3,3320.3,399.8,184.7,313.6,72.9,85.5,267.9,151.1,110.2,80.6,60
01/01/2021,      Unemployment,783.4,53.7,13.2,40.5,6,2.3,7,21,421.4,30.4,25.8,29.7,5.7,6.5,25.4,17.1,17.1,6.9,5.5
01/01/2021,Unemployment rate,9.8,6.7,7.2,6.6,6.7,4.1,11,9.2,11.3,7.1,12.3,8.7,7.2,7.1,8.7,10.2,13.4,7.9,8.4
01/01/2021,Participation rate,65.1,66.5,64.6,67,62.7,57.5,56.3,66.6,67.6,64.7,56.5,69.1,66.4,66,63,55.3,70.5,60.1,61.4
01/01/2021,Employment rate,58.7,62,60,62.6,58.5,55.2,50.2,60.4,60,60.1,49.6,63.1,61.5,61.2,57.6,49.6,61.1,55.4,56.2
02/01/2021,Population,12282.5,1202.6,285.2,917.4,143.2,95.5,112.9,343.3,5540.8,665.2,372.5,497.4,118.7,139.8,465.5,304.5,180.6,145.5,106.6
02/01/2021,   Labour force,7976.7,809,185.5,623.6,90.4,59.3,66.2,225.6,3713.7,435.2,209,342.6,79.5,93.9,294.6,170.3,125.9,87.5,64.7
02/01/2021,      Employment,7181.2,756.6,172,584.6,83.6,54.4,57.9,205.4,3280.1,400.9,181.9,315.3,73,86.2,271.7,152,109.7,80,59
02/01/2021,      Unemployment,795.4,52.4,13.4,39,6.7,4.9,8.3,20.1,433.6,34.3,27.1,27.3,6.5,7.6,22.9,18.3,16.2,7.6,5.7
02/01/2021,Unemployment rate,10,6.5,7.2,6.3,7.4,8.3,12.5,8.9,11.7,7.9,13,8,8.2,8.1,7.8,10.7,12.9,8.7,8.8
02/01/2021,Participation rate,64.9,67.3,65,68,63.1,62.1,58.6,65.7,67,65.4,56.1,68.9,67,67.2,63.3,55.9,69.7,60.1,60.7
02/01/2021,Employment rate,58.5,62.9,60.3,63.7,58.4,57,51.3,59.8,59.2,60.3,48.8,63.4,61.5,61.7,58.4,49.9,60.7,55,55.3
03/01/2021,Population,12291.7,1204.3,285.5,918.8,143.5,94.4,112.9,343.7,5545.8,665.4,372.6,497.9,118.8,139.9,466,304.6,180.7,145.5,106.6
03/01/2021,   Labour force,7954.6,814.8,186.2,628.6,90.5,57.8,68,223.9,3681.4,438.6,213.5,341.3,81.4,97.2,297.5,177.9,127.1,87.8,64.7
03/01/2021,      Employment,7218.1,764,173.3,590.7,83.7,51.2,60.9,204.5,3282.6,406.4,187,317.7,75,89.1,274.2,159.7,112.3,80.3,59
03/01/2021,      Unemployment,736.5,50.8,12.9,37.9,6.8,6.6,7,19.4,398.9,32.2,26.5,23.5,6.4,8.1,23.3,18.3,14.9,7.4,5.7
03/01/2021,Unemployment rate,9.3,6.2,6.9,6,7.5,11.4,10.3,8.7,10.8,7.3,12.4,6.9,7.9,8.3,7.8,10.3,11.7,8.4,8.8
03/01/2021,Participation rate,64.7,67.7,65.2,68.4,63.1,61.2,60.2,65.1,66.4,65.9,57.3,68.5,68.5,69.5,63.8,58.4,70.3,60.3,60.7
03/01/2021,Employment rate,58.7,63.4,60.7,64.3,58.3,54.2,53.9,59.5,59.2,61.1,50.2,63.8,63.1,63.7,58.8,52.4,62.1,55.2,55.3
04/01/2021,Population,12301.9,1206,285.7,920.3,143.7,94.7,113,344.1,5551.1,665.7,372.7,498.5,118.8,140.1,466.5,304.8,180.9,145.5,106.6
04/01/2021,   Labour force,7977.5,821,186.6,634.4,89.8,56.6,69.5,223.4,3663.6,448.2,220.1,342.8,82,98.9,303.9,182.5,124.6,88.8,64.7
04/01/2021,      Employment,7264,769.5,174.5,595,83.1,49.2,64,206,3293.7,412.5,193.1,321.3,76,90.7,277.7,161.8,113.4,80.8,59.4
04/01/2021,      Unemployment,713.5,51.4,12.1,39.3,6.7,7.4,5.6,17.4,369.9,35.8,26.9,21.4,5.9,8.2,26.1,20.7,11.2,7.9,5.3
04/01/2021,Unemployment rate,8.9,6.3,6.5,6.2,7.5,13.1,8.1,7.8,10.1,8,12.2,6.2,7.2,8.3,8.6,11.3,9,8.9,8.2
04/01/2021,Participation rate,64.8,68.1,65.3,68.9,62.5,59.8,61.5,64.9,66,67.3,59.1,68.8,69,70.6,65.1,59.9,68.9,61,60.7
04/01/2021,Employment rate,59,63.8,61.1,64.7,57.8,52,56.6,59.9,59.3,62,51.8,64.5,64,64.7,59.5,53.1,62.7,55.5,55.7
05/01/2021,Population,12310.2,1207.5,285.9,921.6,143.9,92.9,113,344.4,5555.3,666,372.8,498.9,118.9,140.2,466.9,304.9,181,145.5,106.5
05/01/2021,   Labour force,7963.9,827.8,185.2,642.6,87.9,53.6,71.6,222.6,3651.7,446.6,221.1,344.6,81.3,99.7,310.3,182.8,124.4,89.1,65
05/01/2021,      Employment,7259.3,769.8,173.9,595.9,80.7,47.6,67.1,204.1,3288.1,411,195.2,322.1,75.9,91.8,278.8,162.2,114.2,81.7,60
05/01/2021,      Unemployment,704.7,58,11.3,46.7,7.2,6,4.5,18.5,363.6,35.6,25.9,22.5,5.4,7.9,31.5,20.6,10.2,7.4,5
05/01/2021,Unemployment rate,8.8,7,6.1,7.3,8.2,11.2,6.3,8.3,10,8,11.7,6.5,6.6,7.9,10.2,11.3,8.2,8.3,7.7
05/01/2021,Participation rate,64.7,68.6,64.8,69.7,61.1,57.7,63.4,64.6,65.7,67.1,59.3,69.1,68.4,71.1,66.5,60,68.7,61.2,61
05/01/2021,Employment rate,59,63.8,60.8,64.7,56.1,51.2,59.4,59.3,59.2,61.7,52.4,64.6,63.8,65.5,59.7,53.2,63.1,56.2,56.3
06/01/2021,Population,12317.5,1209,286.1,922.9,144.1,88.9,113.1,344.8,5559.1,666.2,372.8,499.3,119,140.3,467.2,305,181.2,145.5,106.5
06/01/2021,   Labour force,7973.6,836.3,186.1,650.1,86.3,48.8,71,223,3667.2,442.5,218.8,344.2,80,99,311.6,184.3,124.4,88.5,64.8
06/01/2021,      Employment,7245.3,773.7,174.9,598.8,78.8,43.8,66.3,203.9,3291.3,407.3,191.2,321.8,74.4,90.6,279.2,163.1,113.5,81.5,60.5
06/01/2021,      Unemployment,728.3,62.6,11.2,51.4,7.5,5,4.7,19.1,375.9,35.1,27.6,22.4,5.6,8.4,32.5,21.2,10.9,7.1,4.4
06/01/2021,Unemployment rate,9.1,7.5,6,7.9,8.7,10.2,6.6,8.6,10.3,7.9,12.6,6.5,7,8.5,10.4,11.5,8.8,8,6.8
06/01/2021,Participation rate,64.7,69.2,65,70.4,59.9,54.9,62.8,64.7,66,66.4,58.7,68.9,67.2,70.6,66.7,60.4,68.7,60.8,60.8
06/01/2021,Employment rate,58.8,64,61.1,64.9,54.7,49.3,58.6,59.1,59.2,61.1,51.3,64.5,62.5,64.6,59.8,53.5,62.6,56,56.8
07/01/2021,Population,12326.7,1210.6,286.3,924.2,144.4,89.1,113.1,345.2,5563.6,666.5,372.9,499.8,119,140.5,467.7,305.1,181.3,145.4,106.4
07/01/2021,   Labour force,8005.2,838.6,187.6,650.9,86.1,50.2,70.3,224.4,3699.7,438.5,219.7,342.3,79.9,100.4,309.2,184.2,125.7,88.5,64.8
07/01/2021,      Employment,7311.4,779.3,177.9,601.4,78.5,45.4,65.6,205.7,3331.5,407.3,195.2,320.1,74.5,92.5,279.9,164.5,115.8,80.9,60.8
07/01/2021,      Unemployment,693.8,59.3,9.8,49.5,7.6,4.8,4.7,18.7,368.2,31.2,24.5,22.2,5.4,8,29.3,19.7,9.9,7.7,4
07/01/2021,Unemployment rate,8.7,7.1,5.2,7.6,8.8,9.6,6.7,8.3,10,7.1,11.2,6.5,6.8,8,9.5,10.7,7.9,8.7,6.2
07/01/2021,Participation rate,64.9,69.3,65.5,70.4,59.6,56.3,62.2,65,66.5,65.8,58.9,68.5,67.1,71.5,66.1,60.4,69.3,60.9,60.9
07/01/2021,Employment rate,59.3,64.4,62.1,65.1,54.4,51,58,59.6,59.9,61.1,52.3,64,62.6,65.8,59.8,53.9,63.9,55.6,57.1
08/01/2021,Population,12339.2,1212.5,286.6,925.9,144.7,92.9,113.2,345.7,5569.7,666.9,373.1,500.4,119.2,140.7,468.3,305.3,181.5,145.5,106.4
08/01/2021,   Labour force,8054.5,828.2,189.3,638.9,86.9,51.8,67.8,227,3757,441.9,224.8,342.4,79.2,101.1,307.1,186.2,125.2,89.2,65.4
08/01/2021,      Employment,7400.1,776.2,180.3,595.9,80.1,47.9,63.7,208.6,3409.2,411.6,201,320.4,74.4,93.8,282.1,167.4,115.5,81.4,61.4
08/01/2021,      Unemployment,654.3,52,9,43,6.8,3.9,4,18.4,347.8,30.3,23.8,22,4.8,7.3,25,18.8,9.7,7.8,4
08/01/2021,Unemployment rate,8.1,6.3,4.8,6.7,7.8,7.5,5.9,8.1,9.3,6.9,10.6,6.4,6.1,7.2,8.1,10.1,7.7,8.7,6.1
08/01/2021,Participation rate,65.3,68.3,66.1,69,60.1,55.8,59.9,65.7,67.5,66.3,60.3,68.4,66.4,71.9,65.6,61,69,61.3,61.5
08/01/2021,Employment rate,60,64,62.9,64.4,55.4,51.6,56.3,60.3,61.2,61.7,53.9,64,62.4,66.7,60.2,54.8,63.6,55.9,57.7
09/01/2021,Population,12353.7,1214.6,287,927.6,144.9,97.1,113.3,346.2,5576.7,667.5,373.4,501.1,119.3,140.9,468.9,305.6,181.7,145.5,106.4
09/01/2021,   Labour force,8097.8,813.5,188.1,625.3,87.4,55.4,67.8,230.1,3805.1,444.8,227.4,343.6,78.4,101.3,304.8,185.2,125.9,90.2,66.1
09/01/2021,      Employment,7474.5,768.6,180.4,588.2,80.6,51.1,63.8,212.9,3472.2,416.5,208.4,321.5,73.6,95.1,282.1,165.8,117.8,82.9,61.7
09/01/2021,      Unemployment,623.3,44.8,7.7,37.1,6.8,4.3,4,17.2,333,28.3,19,22.1,4.8,6.2,22.7,19.3,8.1,7.3,4.4
09/01/2021,Unemployment rate,7.7,5.5,4.1,5.9,7.8,7.8,5.9,7.5,8.8,6.4,8.4,6.4,6.1,6.1,7.4,10.4,6.4,8.1,6.7
09/01/2021,Participation rate,65.5,67,65.5,67.4,60.3,57.1,59.8,66.5,68.2,66.6,60.9,68.6,65.7,71.9,65,60.6,69.3,62,62.1
09/01/2021,Employment rate,60.5,63.3,62.9,63.4,55.6,52.6,56.3,61.5,62.3,62.4,55.8,64.2,61.7,67.5,60.2,54.3,64.8,57,58
10/01/2021,Population,12368.8,1216.7,287.3,929.4,145.2,95.4,113.4,346.8,5584,668.1,373.7,501.8,119.4,141.1,469.6,305.9,181.9,145.6,106.5
10/01/2021,   Labour force,8120.5,803.6,186.3,617.3,87.4,52.3,68.6,233.8,3836.7,443.3,227.4,347.6,78.7,100.9,305.6,187.3,126.3,89.9,66.7
10/01/2021,      Employment,7529.4,763.3,179.6,583.7,81.4,48.8,64.1,217.2,3523.6,415.2,209.7,326.3,73.5,95.5,284.5,169.9,118.9,84.1,62
10/01/2021,      Unemployment,591.1,40.3,6.7,33.6,6,3.5,4.5,16.6,313.1,28,17.7,21.3,5.2,5.4,21.1,17.4,7.4,5.8,4.7
10/01/2021,Unemployment rate,7.3,5,3.6,5.4,6.9,6.7,6.6,7.1,8.2,6.3,7.8,6.1,6.6,5.4,6.9,9.3,5.9,6.5,7
10/01/2021,Participation rate,65.7,66,64.8,66.4,60.2,54.8,60.5,67.4,68.7,66.4,60.9,69.3,65.9,71.5,65.1,61.2,69.4,61.7,62.6
10/01/2021,Employment rate,60.9,62.7,62.5,62.8,56.1,51.2,56.5,62.6,63.1,62.1,56.1,65,61.6,67.7,60.6,55.5,65.4,57.8,58.2
11/01/2021,Population,12383.6,1218.8,287.6,931.1,145.5,96.7,113.6,347.3,5591.1,668.8,373.9,502.5,119.6,141.4,470.2,306.1,182.1,145.7,106.5
11/01/2021,   Labour force,8152.3,797.4,185.5,612,87.4,52.7,70.1,236.6,3855.2,438.7,226.1,350.7,79,101.1,307.9,193.7,126.8,89.8,67.5
11/01/2021,      Employment,7592,763.4,178.9,584.5,82.1,49,64.4,222.6,3560.7,412.9,207.7,331.5,73.1,96.1,288,177.3,120.7,84.7,62.8
11/01/2021,      Unemployment,560.4,34,6.6,27.4,5.3,3.7,5.7,14,294.5,25.9,18.3,19.2,5.9,5,19.9,16.4,6,5.1,4.7
